src_id,target_id,score
recDAWJfastRekdyB,recstsaTLU4szkJ5G,0.2
recDAWJfastRekdyB,recJW7MRJHqZOHBAt,0.2
recDAWJfastRekdyB,recLEH6dlVe1OpDMJ,0.2
recDAWJfastRekdyB,reccYYkM3VqG7Twwa,0.2
recDAWJfastRekdyB,recLvrKSlnPft0Oiz,0.2
rectYjEIgrGR7SffT,rectyftnQ7iheUAo0,0.25
recVBiQz5oh6c2fZ1,recqcIYe0dtKP1jbm,0.25
recVBiQz5oh6c2fZ1,rectYjEIgrGR7SffT,0.2
recVBiQz5oh6c2fZ1,receEwyu3MCk3Ft8m,0.14285714285714285
recVBiQz5oh6c2fZ1,recWD7iTI1J2yEF39,0.3333333333333333
recVBiQz5oh6c2fZ1,recovMmWllkkp198I,0.25
recVBiQz5oh6c2fZ1,recYwo8aMaWxjkrFh,0.14285714285714285
recVBiQz5oh6c2fZ1,recarfmVX2CLjFh6C,0.14285714285714285
recVBiQz5oh6c2fZ1,recstsaTLU4szkJ5G,0.3333333333333333
recVBiQz5oh6c2fZ1,reccYYkM3VqG7Twwa,0.14285714285714285
recVBiQz5oh6c2fZ1,rectyftnQ7iheUAo0,0.14285714285714285
recVBiQz5oh6c2fZ1,recrRjLKFzbXYNlqF,0.3333333333333333
recVBiQz5oh6c2fZ1,recdSrzoBFdkV7Y0s,0.14285714285714285
recLEhS1xnpBcBY9I,recqcIYe0dtKP1jbm,0.14285714285714285
recLEhS1xnpBcBY9I,rectYjEIgrGR7SffT,0.1111111111111111
recLEhS1xnpBcBY9I,recVBiQz5oh6c2fZ1,0.14285714285714285
recLEhS1xnpBcBY9I,recOlnIqyzPxtxCqo,0.3333333333333333
recLEhS1xnpBcBY9I,receEwyu3MCk3Ft8m,0.2
recLEhS1xnpBcBY9I,recWD7iTI1J2yEF39,0.2
recLEhS1xnpBcBY9I,recPd5zn0dwbHuMbK,0.3333333333333333
recLEhS1xnpBcBY9I,recovMmWllkkp198I,0.14285714285714285
recLEhS1xnpBcBY9I,recYwo8aMaWxjkrFh,0.2
recLEhS1xnpBcBY9I,recarfmVX2CLjFh6C,0.2
recLEhS1xnpBcBY9I,recstsaTLU4szkJ5G,0.2
recLEhS1xnpBcBY9I,reccYYkM3VqG7Twwa,0.2
recLEhS1xnpBcBY9I,recLvrKSlnPft0Oiz,0.2
recOlnIqyzPxtxCqo,recqcIYe0dtKP1jbm,0.25
recOlnIqyzPxtxCqo,rectYjEIgrGR7SffT,0.2
recOlnIqyzPxtxCqo,recVBiQz5oh6c2fZ1,0.42857142857142855
recOlnIqyzPxtxCqo,receEwyu3MCk3Ft8m,0.14285714285714285
recOlnIqyzPxtxCqo,recWD7iTI1J2yEF39,0.14285714285714285
recOlnIqyzPxtxCqo,recPd5zn0dwbHuMbK,0.6666666666666666
recOlnIqyzPxtxCqo,recovMmWllkkp198I,0.1111111111111111
recOlnIqyzPxtxCqo,recYwo8aMaWxjkrFh,0.14285714285714285
recOlnIqyzPxtxCqo,recarfmVX2CLjFh6C,0.14285714285714285
recOlnIqyzPxtxCqo,recstsaTLU4szkJ5G,0.14285714285714285
recOlnIqyzPxtxCqo,reccYYkM3VqG7Twwa,0.14285714285714285
recOlnIqyzPxtxCqo,recrRjLKFzbXYNlqF,0.3333333333333333
recOlnIqyzPxtxCqo,recdSrzoBFdkV7Y0s,0.14285714285714285
rec3gE0SxMEmHKUbO,rec5h3jkUwC0pFVFQ,0.5
rec3gE0SxMEmHKUbO,rec6Z14rGccT5ukG4,0.2
rec3gE0SxMEmHKUbO,recDAWJfastRekdyB,0.5
rec3gE0SxMEmHKUbO,rectYjEIgrGR7SffT,0.1111111111111111
rec3gE0SxMEmHKUbO,recVBiQz5oh6c2fZ1,0.14285714285714285
rec3gE0SxMEmHKUbO,recLEhS1xnpBcBY9I,0.2
rec3gE0SxMEmHKUbO,recOlnIqyzPxtxCqo,0.14285714285714285
